Channel,Peak viewers,Followers gained,Views gained,Language,T
Strippin,9127,19904,3115313,English,63
Mendo,25321,176007,5487693,English,11
Pikabooirl,21309,78399,5574448,English,118
Skadoodle,30357,219104,5373229,English,962
MasterSnakou,12948,73137,6565757,French,33
루시아 (lucia94),8886,37026,5801449,Korean,291
Otzdarva,14940,146762,3176930,English,398
꽃핀 (cherrypach),10985,90457,6606649,Korean,944
Opat04,9497,109720,6632006,Czech,974
icebergdoto,16441,84551,6944929,Russian,274
P4wnyhof,7196,6719,6891131,German,518
Mazarin1k,9605,68292,9980766,Czech,72
김뚜띠_ (kimdduddi),7244,67954,3549865,Korean,246
옥냥이 (rooftopcat99),8794,59213,5969221,Korean,51
KingGothalion,41994,44907,3349456,English,186
ItsSlikeR,12762,154360,5243404,English,827
Alinity,17341,255987,13908506,English,878
TidesofTime,12457,27110,2240586,English,754
GernaderJake,21162,70693,8847646,English,270
スタンミ (sutanmi),7854,16505,3473483,Japanese,965
DarioMocciaTwitch,8160,96707,4356099,Italian,395
bebe872,4965,51251,2383295,English,533
Lasqa,10010,25351,5298356,Russian,603
六希夫 (qttsix),9671,23620,8174656,Chinese,819
Flight23white,74388,704583,2016920,English,498
Heelmike,18963,208795,3406743,English,421
OGADotaPIT,60846,48664,8333671,English,534
SoloRenektonOnly,5118,74554,4581141,English,389
OfficialAndyPyro,9676,29422,10284627,Finnish,732
k3soju,7504,70939,2609837,English,680
SkyrrozTV,17061,216436,6233611,French,856
LeBouseuh,24497,351530,4545514,French,871
BikeMan,7223,11101,3531376,English,353
Rubini,5521,43426,7976244,Portuguese,457
JLWaliid,19603,246417,4345817,French,295
qSnake,5441,37641,6296155,Russian,22
Criken,11050,32753,3593487,English,396
Loserfruit,42374,790345,10477877,English,899
Broxah,13137,209200,5351294,English,892
JonVlogs,21617,261559,3260166,Portuguese,65
ImSoFresh,5788,36095,3673955,French,50
BeBePtv,14353,24674,63847323,Russian,720
TrilluXe,27943,95629,7212835,German,194
landonorris,97550,457635,12694726,English,857
LotharHS,14561,136198,6742783,Polish,206
ElcanaldeJoaco,48072,758797,4893535,Spanish,29
CzechCloud,8212,111145,9000160,Czech,345
chess24,32856,49745,20337169,English,211
TheNo1Alex,8554,30883,7225371,English,622
Crystal_LoL,7471,98846,5571500,Turkish,266
WeAreTheVR,20851,85526,9512134,Hungarian,817
AdzTV,11247,167548,4236933,French,286
IrmanPlay,17697,232876,3312084,Russian,594
Tomato,5358,36010,2200922,English,358
쫀득이_ (pjs9073),15654,115990,5979215,Korean,529
runitup247,1182,30397,2424188,English,498
NeZaK_,7262,207722,3017013,Italian,118
피닉스박1 (xkwhd),9938,50675,4794915,Korean,922
skill4ltu,4049,46398,4548052,English,444
ilMasseo,8980,436741,4364008,Italian,826
Worrun_,41881,103762,3425022,English,424
brax,28736,282648,4449212,English,991
rewinside,24167,372220,5349508,German,587
금사향 (sah_yang),7143,108366,7584329,Korean,850
HAchubby,13675,159519,5075885,English,539
Recrent,6781,120204,8936320,Russian,202
iLame,4911,66490,9831952,Russian,684
ixxYjYxxi,15223,409932,2378245,Arabic,384
Wingsofdeath,7176,6267,2534023,English,320
mang0,24391,53694,3077795,English,178
Kamikatze,8509,36955,4997073,German,260
Philza,24611,292543,5158370,English,834
Kurumx,16413,49439,2485867,English,399
Pieface23,14072,127444,2037389,English,656
CurtisRyan,7245,33141,3760730,English,256
CalebDMTG,5446,9005,1563033,English,704
MarkiLokurasY,26329,417223,7000112,Spanish,583
JLBichouu,16461,150452,4001304,French,697
나나양 (nanayango3o),6411,63332,4789098,Korean,11
DavyJones,44526,454965,10940319,Portuguese,920
Fairlight_Excalibur,19156,5162,1645770,English,316
PG_Esports,24734,41935,16923320,Italian,799
StreamerHouse,12609,10659,2800864,English,251
Peereira7,14532,361206,6222094,Spanish,802
Twitch,130795,223168,46395022,English,964
Sev7n,31836,225963,7453572,Portuguese,268
Wardiii,9459,31905,3970743,English,715
자동 (tranth),5451,11733,5114165,Korean,415
Kubon_,9545,25721,6142647,Polish,365
KarasMai,6728,139915,3975842,English,775
Sloot,21283,23506,4415937,English,322
LPMassive,18813,22874,2409670,German,375
羅傑 (roger9527),12707,22369,4197860,Chinese,17
ChicaLive,14928,631422,2776587,English,366
도현_ (d_obby),16860,153300,5913454,Korean,344
Valkia,23519,146451,8091070,English,471
caps,26754,270611,6373471,English,535
龜狗 (gueigotv),9918,25466,6005834,Chinese,394
Alfie,15588,33462,3380440,English,75
